Date,Open,High,Low,Close,Adj Close,Volume
2010-03-16,9.475000,10.127500,9.460000,10.117500,9.564731,84000
2010-03-17,10.500000,10.605000,10.292500,10.482500,9.909789,174000
2010-03-18,10.482500,10.512500,10.082500,10.227500,9.668719,105600
2010-03-19,10.100000,10.105000,9.595000,9.762500,9.229126,106400
2010-03-22,9.570000,10.505000,9.515000,10.467500,9.895607,253600
2010-03-23,10.615000,11.182500,10.610000,11.142500,10.533730,407600
2010-03-24,11.035000,11.035000,10.470000,10.525000,9.949966,135600
2010-03-25,10.980000,11.137500,10.462500,10.472500,9.900333,135600
2010-03-26,10.752500,10.807500,10.102500,10.307500,9.744349,154800
2010-03-29,10.640000,10.705000,10.510000,10.585000,10.006688,92000
2010-03-30,10.750000,10.900000,10.472500,10.787500,10.198124,128000
2010-03-31,10.870000,10.950000,10.562500,10.620000,10.039775,72000
2010-04-01,10.917500,11.357500,10.477500,10.655000,10.072864,109600
2010-04-05,11.060000,11.600000,10.352500,11.557500,10.926055,100000
2010-04-06,11.337500,11.545000,11.207500,11.382500,10.760616,133200
2010-04-07,11.442500,11.732500,11.127500,11.495000,10.866970,227600
2010-04-08,11.287500,11.287500,10.720000,11.087500,10.481734,298000
2010-04-09,11.215000,11.387500,10.960000,11.382500,10.760616,83600
2010-04-12,11.555000,11.962500,11.417500,11.667500,11.030046,160000
2010-04-13,11.732500,11.950000,11.582500,11.892500,11.242752,193600
2010-04-14,12.630000,13.465000,12.630000,13.422500,12.689159,433600
2010-04-15,13.662500,13.847500,13.385000,13.537500,12.797878,844400
2010-04-16,13.375000,13.375000,12.427500,13.037500,12.325196,296800
2010-04-19,12.600000,12.982500,11.877500,12.597500,11.909235,380800
2010-04-20,12.965000,13.300000,12.875000,13.207500,12.485909,194800
2010-04-21,13.300000,13.592500,12.210000,12.795000,12.095944,384800
2010-04-22,12.545000,13.560000,11.960000,13.517500,12.778972,439600
2010-04-23,13.740000,13.740000,13.030000,13.577500,12.835693,240000
2010-04-26,13.700000,14.070000,13.602500,13.697500,12.949137,256400
2010-04-27,13.125000,13.597500,12.240000,12.280000,11.609081,340800
2010-04-28,12.530000,13.187500,11.902500,12.525000,11.840694,457600
2010-04-29,12.530000,13.000000,12.382500,12.955000,12.247203,389200
2010-04-30,12.625000,12.625000,11.180000,11.207500,10.595179,673600
2010-05-03,11.365000,12.210000,11.365000,12.032500,11.375105,328400
2010-05-04,11.782500,11.782500,9.920000,10.440000,9.869610,1277600
2010-05-05,10.275000,10.587500,9.622500,10.105000,9.552913,528000
2010-05-06,10.000000,10.435000,6.250000,9.245000,8.739899,1163200
2010-05-07,9.000000,9.272500,7.715000,8.682500,8.208132,824800
2010-05-10,10.200000,10.240000,9.702500,10.200000,9.642722,480400
2010-05-11,9.655000,10.537500,9.532500,10.005000,9.458377,1848000
2010-05-12,10.170000,10.870000,10.170000,10.817500,10.226486,2822000
2010-05-13,10.527500,10.962500,9.832500,9.970000,9.425288,1932800
2010-05-14,9.735000,9.735000,8.515000,9.060000,8.565006,1056400
2010-05-17,8.867500,9.522500,8.550000,9.435000,8.919518,1276000
2010-05-18,9.667500,9.830000,8.537500,8.665000,8.191586,1075200
2010-05-19,8.622500,9.062500,8.200000,8.802500,8.321575,1420400
2010-05-20,8.125000,8.642500,7.565000,8.085000,7.643276,709200
2010-05-21,7.750000,8.985000,7.557500,8.612500,8.141954,748000
2010-05-24,8.442500,8.772500,8.105000,8.105000,7.662183,729600
2010-05-25,7.415000,8.290000,7.125000,8.287500,7.834713,721200
2010-05-26,8.705000,9.055000,8.197500,8.245000,7.794534,950000
2010-05-27,8.885000,9.512500,8.760000,9.500000,8.980968,705200
2010-05-28,9.610000,9.610000,8.657500,9.042500,8.548461,619200
2010-06-01,8.985000,9.317500,8.427500,8.427500,7.967062,302000
2010-06-02,8.727500,9.337500,8.462500,9.327500,8.817891,739600
2010-06-03,9.495000,9.795000,9.225000,9.685000,9.155861,606800
2010-06-04,9.435000,9.457500,8.287500,8.425000,7.964699,910000
2010-06-07,8.547500,8.670000,7.425000,7.485000,7.076056,1220800
2010-06-08,7.527500,7.562500,6.852500,7.402500,6.998064,833600
2010-06-09,7.605000,8.077500,7.162500,7.255000,6.858624,575600
2010-06-10,7.640000,8.080000,7.522500,8.052500,7.612551,633600
2010-06-11,7.770000,8.432500,7.700000,8.397500,7.938702,434000
2010-06-14,8.802500,9.037500,8.537500,8.557500,8.089960,461600
2010-06-15,8.750000,10.045000,8.750000,9.982500,9.437105,967200
2010-06-16,9.770000,10.345000,9.510000,10.120000,9.567093,948400
2010-06-17,10.320000,10.342500,9.542500,10.055000,9.505646,581600
2010-06-18,10.102500,10.237500,9.850000,9.987500,9.441832,310400
2010-06-21,10.435000,10.697500,9.540000,9.722500,9.191311,603600
2010-06-22,9.770000,10.155000,9.125000,9.210000,8.706811,659200
2010-06-23,9.300000,9.637500,8.797500,9.290000,8.782440,538400
2010-06-24,9.127500,9.160000,8.367500,8.480000,8.016694,783600
2010-06-25,8.577500,8.602500,8.050000,8.507500,8.042692,581200
2010-06-28,8.422500,8.885000,8.292500,8.607500,8.137228,283200
2010-06-29,8.170000,8.170000,7.287500,7.435000,7.028789,1598000
2010-06-30,7.477500,7.720000,7.015000,7.075000,6.688457,722800
2010-07-01,7.125000,7.295000,6.517500,7.102500,6.714455,714400
2010-07-02,7.117500,7.222500,6.665000,7.015000,6.631735,468800
2010-07-06,7.435000,7.575000,6.822500,7.002500,6.619919,1604000
2010-07-07,7.005000,8.115000,7.005000,8.102500,7.659819,910000
2010-07-08,8.402500,8.402500,7.660000,8.042500,7.603097,980400
2010-07-09,8.077500,8.345000,7.907500,8.320000,7.865436,500800
2010-07-12,8.360000,8.732500,8.265000,8.637500,8.165588,581200
2010-07-13,8.950000,9.280000,8.795000,9.192500,8.690268,779200
2010-07-14,9.600000,9.700000,8.930000,9.107500,8.609912,1126800
2010-07-15,8.985000,9.085000,8.520000,8.990000,8.498832,744400
2010-07-16,8.825000,8.885000,8.120000,8.135000,7.690545,525200
2010-07-19,8.392500,8.782500,8.207500,8.750000,8.271943,527200
2010-07-20,8.092500,8.777500,7.795000,8.775000,8.295577,942800
2010-07-21,8.942500,8.942500,8.185000,8.242500,7.792171,726000
2010-07-22,8.375000,9.175000,8.375000,8.997500,8.505921,687200
2010-07-23,8.925000,9.232500,8.697500,9.170000,8.668996,472800
2010-07-26,9.175000,9.552500,8.897500,9.500000,8.980968,574800
2010-07-27,9.707500,9.707500,9.185000,9.305000,8.796620,698000
2010-07-28,9.187500,9.397500,8.675000,8.822500,8.340483,1140400
2010-07-29,8.922500,8.940000,7.952500,8.287500,7.834713,1644400
2010-07-30,8.095000,8.185000,7.615000,8.027500,7.588917,927200
2010-08-02,8.432500,8.575000,8.132500,8.452500,7.990697,1320800
2010-08-03,8.455000,8.472500,7.985000,8.197500,7.749630,782800
2010-08-04,8.225000,8.462500,7.985000,8.437500,7.976517,567200
2010-08-05,8.390000,8.505000,8.150000,8.235000,7.785080,481600
2010-08-06,8.082500,8.415000,7.937500,8.245000,7.794534,527600
2010-08-09,8.305000,8.500000,8.100000,8.380000,7.922159,505600
2010-08-10,8.125000,8.125000,7.512500,7.737500,7.314762,1248800
2010-08-11,7.240000,7.247500,6.610000,6.805000,6.433208,2048000
2010-08-12,6.322500,6.622500,6.100000,6.532500,6.175596,1851200
2010-08-13,6.565000,6.742500,6.322500,6.335000,5.988887,659200
2010-08-16,6.275000,6.597500,6.125000,6.400000,6.050336,1035200
2010-08-17,6.647500,6.870000,6.502500,6.645000,6.281950,962000
2010-08-18,6.705000,6.967500,6.572500,6.867500,6.492294,681200
2010-08-19,6.787500,6.890000,6.432500,6.522500,6.166143,746400
