Date,Open,High,Low,Close,Adj Close,Volume
2014-03-17,20.285000,20.777500,20.240000,20.580000,19.461229,266800
2014-03-18,20.817499,21.490000,20.570000,21.457500,20.291023,542800
2014-03-19,21.492500,21.855000,21.004999,21.410000,20.246107,441600
2014-03-20,21.070000,22.627501,21.070000,22.615000,21.385599,439200
2014-03-21,22.882500,22.907499,21.840000,22.020000,20.822945,498000
2014-03-24,22.344999,22.344999,21.205000,21.747499,20.565258,659200
2014-03-25,21.915001,22.577499,21.852501,22.197500,20.990795,457200
2014-03-26,22.650000,23.000000,21.490000,21.525000,20.354856,541600
2014-03-27,21.342501,21.717501,20.840000,20.992500,19.851303,385200
2014-03-28,21.225000,21.924999,21.125000,21.445000,20.279203,274400
2014-03-31,21.947500,22.642500,21.825001,22.477501,21.255575,636400
2014-04-01,22.962500,23.527500,22.722500,23.527500,22.248495,540400
2014-04-02,23.750000,23.750000,23.042500,23.379999,22.109011,484400
2014-04-03,23.500000,24.177500,23.170000,23.520000,22.241404,453600
2014-04-04,24.162500,24.162500,21.455000,21.542500,20.371405,1064000
2014-04-07,21.174999,21.887501,20.555000,20.947500,19.808752,657200
2014-04-08,21.125000,21.807501,21.010000,21.732500,20.551075,347200
2014-04-09,22.180000,22.502501,21.750000,22.432501,21.213022,500800
2014-04-10,22.510000,22.530001,20.299999,20.365000,19.257915,738000
2014-04-11,19.750000,20.530001,19.235001,19.392500,18.338282,625600
2014-04-14,19.842501,20.182501,19.327499,19.847500,18.768549,384000
2014-04-15,20.062500,20.430000,19.200001,20.257500,19.156260,458000
2014-04-16,20.665001,20.665001,19.299999,20.139999,19.045147,355600
2014-04-17,20.094999,21.565001,20.094999,21.302500,20.144451,718800
2014-04-21,21.385000,21.879999,21.027500,21.865000,20.676373,420800
2014-04-22,22.000000,22.650000,21.870001,22.490000,21.267395,396000
2014-04-23,22.559999,22.712500,22.207500,22.397499,21.179920,174000
2014-04-24,22.985001,22.985001,21.897499,22.745001,21.508535,459200
2014-04-25,22.170000,22.170000,20.405001,20.545000,19.428131,854000
2014-04-28,20.687500,21.065001,19.377501,20.170000,19.073517,510800
2014-04-29,20.455000,20.782499,20.082500,20.537500,19.421040,259200
2014-04-30,20.317499,20.952499,20.307501,20.952499,19.813477,312000
2014-05-01,20.985001,21.530001,20.637501,20.745001,19.617260,293200
2014-05-02,20.547501,21.184999,20.547501,20.870001,19.735462,280800
2014-05-05,20.645000,21.132500,20.357500,20.969999,19.830023,189600
2014-05-06,21.062500,21.325001,20.712500,20.719999,19.593615,137600
